OBJECTID,SN_ID,WBenUse
981,05-1283,Domestic
982,05-1284,Agricultural
983,05-1285,Agricultural
984,05-1285,Other
985,05-1286,Domestic
986,05-1286,Agricultural
987,05-1287,Agricultural
988,05-1287,Domestic
989,05-1288,Agricultural
990,05-1289,Agricultural
991,05-129,Agricultural
992,05-129,Domestic
993,05-1290,Other
994,05-1291,Other
995,05-1292,Agricultural
996,05-1293,Agricultural
997,05-1294,Other
998,05-1295,Agricultural
999,05-1295,StockWatering
1000,05-1295,Domestic
1001,05-1296,StockWatering
1002,05-1296,Domestic
1003,05-1296,Agricultural
1004,05-1297,Domestic
1005,05-1297,Agricultural
1006,05-1298,Agricultural
1007,05-1298,Domestic
1008,05-1298,StockWatering
1009,05-1299,Agricultural
1010,05-1299,StockWatering
1011,05-130,Other
1012,05-1300,Agricultural
1013,05-1300,StockWatering
1014,05-1301,Other
1015,05-1302,Domestic
1016,05-1302,StockWatering
1017,05-1302,Agricultural
1018,05-1303,Agricultural
1019,05-1303,StockWatering
1020,05-1303,Domestic
1021,05-1304,Agricultural
1022,05-1304,Domestic
1023,05-1304,StockWatering
1024,05-1305,Agricultural
1025,05-1306,StockWatering
1026,05-1306,Agricultural
1027,05-1306,Domestic
1028,05-1307,Domestic
1029,05-1307,StockWatering
1030,05-1309,Agricultural
1031,05-131,Domestic
1032,05-1310,Other
1033,05-1311,StockWatering
1034,05-1311,Domestic
1035,05-1312,Agricultural
1036,05-1312,StockWatering
1037,05-1313,Agricultural
1038,05-1313,Domestic
1039,05-1314,Agricultural
1040,05-1314,StockWatering
1041,05-1315,StockWatering
1042,05-1315,Domestic
1043,05-1315,Agricultural
1044,05-1316,Other
1045,05-1317,Other
1046,05-1318,Other
1047,05-1319,Agricultural
1048,05-132,Domestic
1049,05-132,Other
1050,05-1320,Agricultural
1051,05-1321,Agricultural
1052,05-1322,Domestic
1053,05-1322,StockWatering
1054,05-1323,StockWatering
1055,05-1323,Agricultural
1056,05-1323,Domestic
1057,05-1324,Domestic
1058,05-1325,Domestic
1059,05-1325,Agricultural
1060,05-1325,StockWatering
1061,05-1326,Agricultural
1062,05-1327,Agricultural
1063,05-1327,Domestic
1064,05-1328,Agricultural
1065,05-1329,Domestic
1066,05-1329,Agricultural
1067,05-133,Domestic
1068,05-133,Other
1069,05-1330,Domestic
1070,05-1330,Agricultural
1071,05-1331,Agricultural
1072,05-1331,Domestic
1073,05-1332,Domestic
1074,05-1332,Agricultural
1075,05-1332,StockWatering
1076,05-1333,Agricultural
1077,05-1333,Domestic
1078,05-1333,StockWatering
1079,05-1334,StockWatering
1080,05-1334,Domestic
1081,05-1334,Agricultural
1082,05-1335,Agricultural
1083,05-1336,Agricultural
1084,05-1337,Agricultural
1085,05-1338,Agricultural
1086,05-1339,StockWatering
1087,05-134,StockWatering
1088,05-134,Agricultural
1089,05-134,Domestic
1090,05-134,Other
1091,05-1340,StockWatering
1092,05-1341,Other
1093,05-1342,Domestic
1094,05-1342,Other
1095,05-1343,StockWatering
1096,05-1343,Agricultural
1097,05-1344,StockWatering
1098,05-1345,Agricultural
1099,05-1346,Agricultural
1100,05-1346,Domestic
1101,05-1347,Agricultural
1102,05-1348,Agricultural
1103,05-1349,Domestic
1104,05-1349,StockWatering
1105,05-1349,Agricultural
1106,05-135,Other
1107,05-1350,StockWatering
1108,05-1351,StockWatering
1109,05-1351,Agricultural
1110,05-1351,Domestic
1111,05-1352,Agricultural
1112,05-1352,StockWatering
1113,05-1352,Domestic
1114,05-1353,Other
1115,05-1354,Domestic
1116,05-1355,Agricultural
1117,05-1355,StockWatering
1118,05-1355,Domestic
1119,05-1356,Domestic
1120,05-1356,Agricultural
1121,05-1357,Other
1122,05-1358,StockWatering
1123,05-1358,Agricultural
1124,05-1359,Other
1125,05-136,StockWatering
1126,05-1360,Agricultural
1127,05-1360,StockWatering
1128,05-1361,StockWatering
1129,05-1361,Domestic
1130,05-1361,Agricultural
1131,05-1362,Domestic
1132,05-1362,Agricultural
1133,05-1363,StockWatering
1134,05-1363,Domestic
1135,05-1363,Agricultural
1136,05-1364,Agricultural
1137,05-1365,Agricultural
1138,05-1365,Domestic
1139,05-1366,Domestic
1140,05-1366,Agricultural
1141,05-1366,StockWatering
1142,05-1367,Other
1143,05-1368,Domestic
